merged,name,lat,lon,Address,Municipality,Sale price
"3424 Tall Tree Lane, Lysander, New York","Tall Tree Lane, Town of Lysander, Onondaga County, New York, 13027, United States",43.1604722,-76.2738393,3424 Tall Tree Lane,Lysander,65000
" Tannery Ln, Fulton, New York","Tannery Lane, City of Fulton, Oswego County, New York, 13069, United States",43.323808,-76.433377, Tannery Ln,Fulton,6500
" Tannery Ln, Fulton, New York","Tannery Lane, City of Fulton, Oswego County, New York, 13069, United States",43.323808,-76.433377, Tannery Ln,Fulton,6000
" Tannery Ln, Fulton, New York","Tannery Lane, City of Fulton, Oswego County, New York, 13069, United States",43.323808,-76.433377, Tannery Ln,Fulton,3000
" Tannery Ln, Fulton, New York","Tannery Lane, City of Fulton, Oswego County, New York, 13069, United States",43.323808,-76.433377, Tannery Ln,Fulton,3000
" Bear Swamp Rd, Sempronius, New York","Bear Swamp Road, Town of Sempronius, Cayuga County, New York, United States",42.76332,-76.305234, Bear Swamp Rd,Sempronius,211325
" Stevens Rd, Elbridge (town), New York","Stevens Road, Jones Point, Town of Elbridge, Onondaga County, New York, 13080, United States",43.094153,-76.461986, Stevens Rd,Elbridge (town),5000
" Stevens Rd, Elbridge (town), New York","Stevens Road, Jones Point, Town of Elbridge, Onondaga County, New York, 13080, United States",43.094153,-76.461986, Stevens Rd,Elbridge (town),10000
"210-16 Goodfellow Rd, Palermo, New York","Goodfellow Road, Town of Palermo, Oswego County, New York, 13069, United States",43.354745,-76.306524,210-16 Goodfellow Rd,Palermo,100000
" Meirs Rd, Williamstown, New York","Meirs Road, Town of Williamstown, Oswego County, New York, 13483, United States",43.429084,-75.85152, Meirs Rd,Williamstown,60000
" Atwood Rd, Sempronius, New York","Atwood Road, Town of Sempronius, Cayuga County, New York, 13118, United States",42.717477,-76.295269, Atwood Rd,Sempronius,36000
"6927 Island Rd, Cicero, New York","6927, Island Road, Brown Center, Town of Cicero, Onondaga County, New York, 13039, United States",43.169579,-76.0479373,6927 Island Rd,Cicero,120000
"213 Seymour St, Auburn, New York","213, Seymour Street, City of Auburn, Aurelius, Cayuga County, New York, 13021, United States",42.9382249,-76.5774937,213 Seymour St,Auburn,65000
" Shepherd Rd, Brutus, New York","Shepherd Road, Town of Sennett, Town of Brutus, Cayuga County, New York, 13166, United States",43.030036,-76.535913, Shepherd Rd,Brutus,10
"254 Main Street, Mentz, New York","254, Main Street, Village of Port Byron, Town of Mentz, Cayuga County, New York, 13140, United States",43.0446945,-76.6204435,254 Main Street,Mentz,290000
"105.5 Meyers Rd, Salina, New York","Meyers Road, Village of Liverpool, Town of Salina, Onondaga County, New York, 13088, United States",43.113758,-76.216234,105.5 Meyers Rd,Salina,295000
"5 Marsden Dr, Mexico (town), New York","5, Marsden Drive, Town of Mexico, Oswego County, New York, 13114, United States",43.5219875,-76.2493309,5 Marsden Dr,Mexico (town),19500
"203 Albright Rd, New Haven, New York","203, Albright Road, Town of New Haven, Oswego County, New York, 13114, United States",43.47027131164766,-76.33248622727218,203 Albright Rd,New Haven,145000
"4501 East Lake Rd, Cazenovia (town), New York","4501, East Lake Road, Town of Cazenovia, Lenox, Madison County, New York, 13035, United States",42.9407397,-75.8598106,4501 East Lake Rd,Cazenovia (town),300000
"210-12 Glenwood Ave, Syracuse, New York","Glenwood Avenue, Elmwood, City of Syracuse, Onondaga County, New York, 13207, United States",43.0187948,-76.1614981,210-12 Glenwood Ave,Syracuse,2060
"129-31 Baker Ave, Syracuse, New York","Baker Avenue, Brighton, City of Syracuse, Onondaga County, New York, 13205, United States",43.029046,-76.143579,129-31 Baker Ave,Syracuse,69
"276 Lakeshore Rd, Oswego (town), New York","276, Lakeshore Road, Town of Granby, Oswego County, New York, 13069, United States",43.29391616666667,-76.44989077777778,276 Lakeshore Rd,Oswego (town),92300
"10185 Jordan Road, Cato (town), New York","10185, Jordan Road, Town of Cato, Cayuga County, New York, 13080, United States",43.1105565,-76.49523022282608,10185 Jordan Road,Cato (town),10000
"3078 Bush Rd, Pompey, New York","3078, Bush Road, Town of Pompey, Onondaga County, New York, 13078, United States",42.9205342,-76.0348357,3078 Bush Rd,Pompey,285000
" Co Rt 4, Hastings, New York","County Highway 12, Caughdenoy, Town of Hastings, Oswego County, New York, 13036, United States",43.272032,-76.208434, Co Rt 4,Hastings,38900
"326 Mc Caw Rd, Redfield, New York","326, Mc Caw Road, Town of Redfield, Oswego County, New York, 13437, United States",43.5174473,-75.7958747,326 Mc Caw Rd,Redfield,30000
" Kline Rd, Schroeppel, New York","Kline Road, Sand Ridge, Town of Schroeppel, Oswego County, New York, 13132, United States",43.2550223,-76.2444864, Kline Rd,Schroeppel,22000
"919 Stone Hill Rd, Williamstown, New York","919, Stone Hill Road, Town of Williamstown, Albion, Oswego County, New York, 13493, United States",43.4228472,-75.9219326,919 Stone Hill Rd,Williamstown,47000
" Ricard Rd, Williamstown, New York","Ricard Road, Ricard, Town of Williamstown, Oswego County, New York, 13302, United States",43.500907,-75.913443, Ricard Rd,Williamstown,3000
"3757 Malibu Hills Drive, Camillus (town), New York","3757, Malibu Hills Drive, City of Syracuse, Onondaga County, New York, 13209, United States",43.0596588,-76.252036,3757 Malibu Hills Drive,Camillus (town),415700
"26 Montgomery St, Parish (village), New York","26, Montgomery Street, Village of Parish, Town of Parish, Albion, Oswego County, New York, 13131, United States",43.4016705,-76.12830934489051,26 Montgomery St,Parish (village),9000
"14831 Hadcock Dr, Fair Haven, New York","14831, Hadcock Drive, Village of Fair Haven, Town of Sterling, Cayuga County, New York, 13156, United States",43.33194135202682,-76.71420381306115,14831 Hadcock Dr,Fair Haven,70000
" Peat Bed Rd, Hannibal (town), New York","Peat Bed Road, Town of Hannibal, Oswego County, New York, 13074, United States",43.307928,-76.553446, Peat Bed Rd,Hannibal (town),20000
" Co Rt 4, Volney, New York","Oswego County Energy Recovery, Town of Volney, Oswego County, New York, United States",43.3492521,-76.42511226709469, Co Rt 4,Volney,54000
"9130 Ashley Landing Dr, Clay, New York","9130, Ashley Landing Drive, Oak Orchard, Town of Clay, Onondaga County, New York, 13041, United States",43.2121165,-76.2053184,9130 Ashley Landing Dr,Clay,478000
"545-47 Park Ave, Syracuse, New York","Park Avenue, Westside, City of Syracuse, Onondaga County, New York, 13204, United States",43.052153,-76.175592,545-47 Park Ave,Syracuse,976
"66 Second St, Fulton, New York","66, Second Street, Ward 4, City of Gloversville, Fulton County, New York, 12078, United States",43.048913,-74.35457314285713,66 Second St,Fulton,72000
" Old State Rd, Victory, New York","Old State Road, Town of Victory, Cayuga County, New York, United States",43.196719,-76.647445, Old State Rd,Victory,485000
"3544 Wyckoff Rd, Scipio, New York","3544, Wyckoff Road, Elmwood, Town of Moravia, Town of Scipio, Cayuga County, New York, 13118, United States",42.789931,-76.5288705,3544 Wyckoff Rd,Scipio,800000
" Hayes Rd, Lysander, New York","Hayes Road, Cold Springs, Town of Lysander, Onondaga County, New York, 13027, United States",43.125496,-76.269221, Hayes Rd,Lysander,15000
" Riverside Pointe Dr, Albion, New York","Riverside Pointe Drive, Town of Albion, Oswego County, New York, 13142, United States",43.539513,-76.064023, Riverside Pointe Dr,Albion,85000
"92 Lewis St, Pulaski, New York","92, Lewis Street, Village of Pulaski, Town of Richland, Albion, Oswego County, New York, 13142, United States",43.5662801,-76.1236493,92 Lewis St,Pulaski,49900
"5554 Huntington Camp Rd, Eaton, New York","5554, Huntington Camp Road, Town of Eaton, Madison County, New York, 13334, United States",42.83973403634562,-75.65910619731596,5554 Huntington Camp Rd,Eaton,60000
,"Nanno, Ville d'Anaunia, Comunità della Val di Non, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38093, Italia",46.3144754,11.0480288,,Syracuse,151
,"Nanno, Ville d'Anaunia, Comunità della Val di Non, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38093, Italia",46.3144754,11.0480288,,Syracuse,151
"5875 Quarter Moon Dr, Onondaga, New York","5875, Quarter Moon Drive, Town of Onondaga, Onondaga County, New York, 13078, United States",42.9889928,-76.1174505,5875 Quarter Moon Dr,Onondaga,53000
"2835 Gardner Rd, Pompey, New York","2835, Gardner Road, Town of Fabius, Onondaga County, New York, 13063, United States",42.9086135,-76.0014041,2835 Gardner Rd,Pompey,56000
" Hume Ln, Throop, New York","Hume Lane, Town of Throop, Cayuga County, New York, 13021, United States",42.964667,-76.588526, Hume Ln,Throop,40000
"113-115 Roberts St, Canastota, New York","Roberts Street, Village of Canastota, Town of Lenox, Madison County, New York, 13032, United States",43.088699,-75.733768,113-115 Roberts St,Canastota,100000
"9028 River Rd, Lysander, New York","9028, River Road, Radisson, Town of Lysander, Onondaga County, New York, 13135, United States",43.2093477,-76.2879373,9028 River Rd,Lysander,30000
"1907 Hibbard Rd, Brookfield, New York","1907, Hibbard Road, Guideboard, Town of Brookfield, Madison County, New York, 13485, United States",42.814559,-75.3536799,1907 Hibbard Rd,Brookfield,33000
"56 Payne St, Hamilton (village), New York","56, Payne Street, Village of Hamilton, Town of Hamilton, Madison County, New York, 13346, United States",42.8283543,-75.53744,56 Payne St,Hamilton (village),730000
"63-65 First St, Fulton, New York","First Street, Ward 4, City of Gloversville, Fulton County, New York, 12078, United States",43.0498506,-74.3537276,63-65 First St,Fulton,1000
"1761 Bush Hill Rd, Conquest, New York","1761, Bush Hill Road, Village of Port Byron, Cayuga County, New York, 13140, United States",43.1146755,-76.6241455,1761 Bush Hill Rd,Conquest,16000
" Smith Rd, Cazenovia (town), New York","Smith Road, Town of Cazenovia, Madison County, New York, 13122, United States",42.846617,-75.83189, Smith Rd,Cazenovia (town),62000
"5874 Quarry Rd, Lincoln, New York","5874, Quarry Road, Village of Canastota, Town of Lincoln, Madison County, New York, 13032, United States",43.0073748,-75.7992027,5874 Quarry Rd,Lincoln,29000
"212 Mc Caw Rd, Redfield, New York","212, Mc Caw Road, Town of Redfield, Oswego County, New York, 13437, United States",43.508483,-75.791676,212 Mc Caw Rd,Redfield,35000
"23 Dunlap Avenue, Marcellus (village), New York","23, Dunlap Avenue, Village of Marcellus, Town of Marcellus, Onondaga County, New York, 13108, United States",42.9756925,-76.34329323170732,23 Dunlap Avenue,Marcellus (village),99900
"7362 Skadden Terr, Tully (village), New York","7362, Skadden Terrace, Village of Tully, Town of Tully, Onondaga County, New York, 13159, United States",42.798962,-76.1121966,7362 Skadden Terr,Tully (village),16500
" Fancher Ave, Fair Haven, New York","Fancher Avenue, North Fair Haven, Village of Fair Haven, Town of Sterling, Cayuga County, New York, 13064, United States",43.322294,-76.705434, Fancher Ave,Fair Haven,90000
"4776 Westcott Road, Eaton, New York","4776, Westcott Road, Town of Eaton, Madison County, New York, 13334, United States",42.8318872,-75.6810559,4776 Westcott Road,Eaton,1000
"6130 Mud Mill Rd, Cicero, New York","6130, Mud Mill Road, Town of Cicero, Onondaga County, New York, 13029, United States",43.19858679656313,-76.09686202170523,6130 Mud Mill Rd,Cicero,59999
"4644 Kingsford Ter, Onondaga, New York","4644, Kingsford Terrace, Town of Onondaga, Onondaga County, New York, 13215, United States",42.99173379420248,-76.17008522427531,4644 Kingsford Ter,Onondaga,770000
"122 Pebblestone Drive, Chittenango, New York","122, Pebblestone Drive, Village of Chittenango, Town of Sullivan, Lenox, Madison County, New York, 13037, United States",43.0508388,-75.8888673,122 Pebblestone Drive,Chittenango,19000
"128 Roswell Ave, Onondaga, New York","128, West Roswell Avenue, Nedrow, Town of Onondaga, Onondaga County, New York, 13120, United States",42.9783583,-76.1440064,128 Roswell Ave,Onondaga,4500
"339 Williams St, Oneida (city), New York","339, Williams Street, City of Oneida, Lenox, Madison County, New York, 13421, United States",43.10284317969951,-75.6545042003091,339 Williams St,Oneida (city),13000
"3880 Hallston Dr, Clay, New York","3880, Hallston Drive, Town of Clay, Onondaga County, New York, 13090, United States",43.19182824489796,-76.2433914489796,3880 Hallston Dr,Clay,90000
"8798 Dell Center Dr, Clay, New York","8798, Dell Center Drive, Town of Clay, Onondaga County, New York, 13090, United States",43.189776,-76.243988,8798 Dell Center Dr,Clay,40000
" Beard Ave, DeWitt, New York","Beard Avenue, Town of De Witt, Onondaga County, New York, 13057, United States",43.07118,-76.084252, Beard Ave,DeWitt,99000
"104 Rising Crest Cir, Minoa, New York","104, Rising Crest Circle, Village of Minoa, Town of Manlius, Onondaga County, New York, 13116, United States",43.06893040688215,-76.0135861183901,104 Rising Crest Cir,Minoa,46000
"420 Park Ave, Fulton, New York","420, Park Avenue, City of Fulton, Oswego County, New York, 13069, United States",43.3130232,-76.4215544,420 Park Ave,Fulton,1000
"58 Daysville Rd, Richland, New York","Daysville Road, Daysville, Town of Richland, Oswego County, New York, United States",43.529001,-76.182247,58 Daysville Rd,Richland,36000
"5651 &5653 Davey Rd, Cicero, New York","East Davey Road, Brewerton, Town of Cicero, Onondaga County, New York, 13029, United States",43.236691,-76.135923,5651 &5653 Davey Rd,Cicero,500000
" Berry Rd, LaFayette, New York","Berry Road, Town of LaFayette, Onondaga County, New York, 13084, United States",42.875058,-76.052012, Berry Rd,LaFayette,33000
" St Rt 3, Sandy Creek (town), New York","North Main Street, Village of Sandy Creek, Town of Sandy Creek, Oswego County, New York, 13083, United States",43.647264,-76.0856519, St Rt 3,Sandy Creek (town),17500
"4933 West Lake Rd, Fleming, New York","4933, West Lake Road, Elmwood, City of Auburn, Town of Scipio, Cayuga County, New York, 13021, United States",42.8540344,-76.5313399,4933 West Lake Rd,Fleming,265000
" Poolville Rd, Hamilton (town), New York","Poolville Road, Hubbardsville, Town of Hamilton, Madison County, New York, 13346, United States",42.799451,-75.487682, Poolville Rd,Hamilton (town),51000
"5648 River Rock Dr, Elbridge (town), New York","5648, River Rock Drive, Town of Elbridge, Onondaga County, New York, 13060, United States",43.0413879,-76.4294287,5648 River Rock Dr,Elbridge (town),25000
"1437 Old Seneca Tpk, Skaneateles (town), New York","1437, Old Seneca Turnpike, Willow Glen, Town of Skaneateles, Onondaga County, New York, 13152, United States",42.9821624,-76.405964,1437 Old Seneca Tpk,Skaneateles (town),450000
"9011 Kennedy Lane, Sullivan, New York","Kennedy Lane, Town of Sullivan, Madison County, New York, 13032, United States",43.157722,-75.822869,9011 Kennedy Lane,Sullivan,37000
" Broadfield Rd, Pompey, New York","Broadfield Road, Town of Pompey, Onondaga County, New York, 13104, United States",42.988148,-75.964895, Broadfield Rd,Pompey,100000
"120 Baker Ave, Syracuse, New York","120, Baker Avenue, Brighton, City of Syracuse, Onondaga County, New York, 13205, United States",43.0305763,-76.1447022,120 Baker Ave,Syracuse,135000
"4520 Vinegar Hill Rd, Skaneateles (town), New York","4520, Vinegar Hill Road, Long Bridge, Town of Skaneateles, Onondaga County, New York, 13152, United States",42.9894869,-76.4394982,4520 Vinegar Hill Rd,Skaneateles (town),27000
"125 Wood Avenue, Syracuse, New York","125, Wood Avenue, Brighton, City of Syracuse, Onondaga County, New York, 13205, United States",43.0255987,-76.147649,125 Wood Avenue,Syracuse,151
"125 Wood Avenue, Syracuse, New York","125, Wood Avenue, Brighton, City of Syracuse, Onondaga County, New York, 13205, United States",43.0255987,-76.147649,125 Wood Avenue,Syracuse,151
"6976 Glen Haven Rd, Sempronius, New York","6976, Glen Haven Road, Town of Sempronius, Town of Moravia, Cayuga County, New York, 13118, United States",42.7741575,-76.27980224468467,6976 Glen Haven Rd,Sempronius,825000
" Center Street Rd, Sennett, New York","Center Street Road, Town of Sennett, Cayuga County, New York, 13021, United States",42.971412,-76.493164, Center Street Rd,Sennett,10000
" Center Street Rd, Sennett, New York","Center Street Road, Town of Sennett, Cayuga County, New York, 13021, United States",42.971412,-76.493164, Center Street Rd,Sennett,28000
"224 Yates St, East Syracuse, New York","224, East Yates Street, Village of East Syracuse, Town of De Witt, Onondaga County, New York, 13057, United States",43.06587626530612,-76.06847775510204,224 Yates St,East Syracuse,1000
"24 Baker Road, Marcellus (village), New York","24, Baker Road, Village of Marcellus, Town of Marcellus, Onondaga County, New York, 13108, United States",42.97729492646148,-76.34200519388986,24 Baker Road,Marcellus (village),94905
"1622 Coon Hill Rd, Skaneateles (town), New York","1622, Coon Hill Road, Town of Skaneateles, Onondaga County, New York, 13152, United States",42.9166515,-76.3934399,1622 Coon Hill Rd,Skaneateles (town),10000
" South Street Rd, Fleming, New York","South Street, City of Auburn, Aurelius, Cayuga County, New York, 13021, United States",42.915407,-76.564939, South Street Rd,Fleming,30000
" Pleasant Ave, North Syracuse, New York","Pleasant Avenue, Village of North Syracuse, Town of Clay, Onondaga County, New York, 13212, United States",43.126459,-76.132967, Pleasant Ave,North Syracuse,600
" Kehoe Rd, Sandy Creek (town), New York","Kehoe Road, Town of Sandy Creek, Oswego County, New York, 13145, United States",43.658845,-76.117485, Kehoe Rd,Sandy Creek (town),9000
"8799 Dell Center Dr, Clay, New York","8799, Dell Center Drive, Town of Clay, Onondaga County, New York, 13090, United States",43.18748153618095,-76.24379955674206,8799 Dell Center Dr,Clay,42500
"8071 River Rd, Lysander, New York","8071, River Road, Cold Springs, Town of Lysander, Onondaga County, New York, 13027, United States",43.161104,-76.2788726,8071 River Rd,Lysander,189610
" Otisco Valley Rd, Otisco, New York","Otisco Valley Road, Heath Grove, Rice Grove, Amber, Town of Otisco, Onondaga County, New York, 13110, United States",42.831133,-76.233909, Otisco Valley Rd,Otisco,149900
" Otisco Valley Rd, Otisco, New York","Otisco Valley Road, Heath Grove, Rice Grove, Amber, Town of Otisco, Onondaga County, New York, 13110, United States",42.831133,-76.233909, Otisco Valley Rd,Otisco,11
"103 Florida Rd N, Salina, New York","103, Florida Road, Hinsdale, Mattydale, City of Syracuse, Onondaga County, New York, 13211, United States",43.0989874,-76.13282909044305,103 Florida Rd N,Salina,140000
"1546 Mcfarland Rd, Sterling, New York","1546, McFarland Road, Town of Sterling, Cayuga County, New York, 13156, United States",43.3697997,-76.6380934,1546 Mcfarland Rd,Sterling,249900
"6381 Finish Line Trl, Cicero, New York","6381, Finish Line Trail, Town of Cicero, Onondaga County, New York, 13039, United States",43.1933712,-76.0843028,6381 Finish Line Trl,Cicero,49500
"117 Maccollum Rd, Elbridge (village), New York","117, Maccollum Road, Village of Elbridge, Town of Elbridge, Onondaga County, New York, 13060, United States",43.032089,-76.4441399,117 Maccollum Rd,Elbridge (village),36000
"3133 Lake Rd, Skaneateles (town), New York","3133, East Lake Road, Borodino, Village of Skaneateles, Town of Skaneateles, Onondaga County, New York, 13152, United States",42.9225258,-76.4054298,3133 Lake Rd,Skaneateles (town),4600000
" Black Creek Rd, Clay, New York","Black Creek Road, Town of Clay, Onondaga County, New York, 13029, United States",43.234584,-76.191389, Black Creek Rd,Clay,112000
"134 Giddings Trl, Lysander, New York","134, Giddings Trail, Town of Lysander, Onondaga County, New York, 13027, United States",43.1699736,-76.3584672,134 Giddings Trl,Lysander,473305
"134 Giddings Trl, Lysander, New York","134, Giddings Trail, Town of Lysander, Onondaga County, New York, 13027, United States",43.1699736,-76.3584672,134 Giddings Trl,Lysander,54000
"4917 Seneca Tpke, Onondaga, New York","4917, West Seneca Turnpike, Onondaga Hill, City of Syracuse, Onondaga County, New York, 13215, United States",43.0057995,-76.1760238,4917 Seneca Tpke,Onondaga,84500
" Kibbie Lake Rd, Constantia, New York","Kibbie Lake Road, Nicholsville, Town of Constantia, Oswego County, New York, 13044, United States",43.267407,-75.97394, Kibbie Lake Rd,Constantia,20000
" Kibbie Lake Rd, Constantia, New York","Kibbie Lake Road, Nicholsville, Town of Constantia, Oswego County, New York, 13044, United States",43.267407,-75.97394, Kibbie Lake Rd,Constantia,25000
"32 Mill St, Port Byron, New York","32, Mill Street, Village of Port Byron, Town of Mentz, Cayuga County, New York, 13140, United States",43.0335445,-76.62488426222825,32 Mill St,Port Byron,60000
"354 Washington Ave, Oneida (city), New York","354, Washington Avenue, City of Oneida, Lincoln, Madison County, New York, 13421, United States",43.0913069,-75.656893,354 Washington Ave,Oneida (city),140500
"699 Rugby Rd, Sullivan, New York","699, Rugby Road, Town of Sullivan, Madison County, New York, 13030, United States",43.172013,-75.9480801,699 Rugby Rd,Sullivan,38625
"4774 Cleveland Rd, Onondaga, New York","4774, Cleveland Road, Onondaga Hill, City of Syracuse, Onondaga County, New York, 13215, United States",43.0010708,-76.1791826,4774 Cleveland Rd,Onondaga,2000
"135 Maxwell Avenue, Syracuse, New York","135, Maxwell Avenue, North Valley, City of Syracuse, Onondaga County, New York, 13207, United States",43.0059402,-76.1561848,135 Maxwell Avenue,Syracuse,151
" Lawrence Rd, Camillus (town), New York","Lawrence Road, Edgewood Garden, Town of Camillus, Onondaga County, New York, 13209, United States",43.092593,-76.256335, Lawrence Rd,Camillus (town),35000
"139 Maxwell Avenue, Syracuse, New York","139, Maxwell Avenue, North Valley, City of Syracuse, Onondaga County, New York, 13207, United States",43.0059435,-76.1563158,139 Maxwell Avenue,Syracuse,151
"419 Fire Lane 33, Moravia (town), New York","419, Fire Lane 33, Southeast Owasco, Town of Moravia, Cayuga County, New York, 13118, United States",42.7648247,-76.4621139,419 Fire Lane 33,Moravia (town),10000
"2351 Turnpike Rd, Throop, New York","2351, Turnpike Road, Sawyers Corner, City of Auburn, Cayuga County, New York, 13021, United States",42.9725205,-76.5846634,2351 Turnpike Rd,Throop,324900
"4060 Long Hill Rd, Venice, New York","4060, Long Hill Road, Stewart Corners, Town of Moravia, Town of Venice, Cayuga County, New York, 13118, United States",42.73314,-76.4730105,4060 Long Hill Rd,Venice,25000
"7396 Lakeshore Rd, Cicero, New York","7396, Lakeshore Road, Kraus Landing, Town of Cicero, Onondaga County, New York, 13039, United States",43.1854896,-76.0129385,7396 Lakeshore Rd,Cicero,75000
" State Route 31, Clay, New York","State Route 31, Town of Clay, Onondaga County, New York, 13041, United States",43.1853711,-76.2385144, State Route 31,Clay,900000
"24 Dunlap Avenue, Marcellus (village), New York","24, Dunlap Avenue, Village of Marcellus, Town of Marcellus, Onondaga County, New York, 13108, United States",42.975691000000005,-76.34329312195122,24 Dunlap Avenue,Marcellus (village),99900
"20 Baker Road, Marcellus (village), New York","20, Baker Road, Village of Marcellus, Town of Marcellus, Onondaga County, New York, 13108, United States",42.97736457619576,-76.34201024954625,20 Baker Road,Marcellus (village),85405
"19 Baker Road, Marcellus (village), New York","19, Baker Road, Village of Marcellus, Town of Marcellus, Onondaga County, New York, 13108, United States",42.975758523809525,-76.34170271428572,19 Baker Road,Marcellus (village),75905
" Jupiter Inlet Way, Onondaga, New York","Jupiter Inlet Way, Town of Onondaga, Onondaga County, New York, 13207, United States",43.0232554,-76.1821481, Jupiter Inlet Way,Onondaga,65000
" Salina St, Lacona, New York","Salina Street, Village of Lacona, Lacona, Oswego County, New York, 13083, United States",43.640447,-76.069252, Salina St,Lacona,5000
"5953 Sayles Corners Rd, Sempronius, New York","5953, Sayles Corners Road, Town of Sempronius, Town of Moravia, Cayuga County, New York, 13118, United States",42.7592955,-76.34864250648796,5953 Sayles Corners Rd,Sempronius,460000
"298 Auringer Rd, Constantia, New York","Auringer Road, Town of Constantia, Oswego County, New York, 13044, United States",43.275681,-76.006576,298 Auringer Rd,Constantia,65000
" Rikers Beach Rd, Scriba, New York","Rikers Beach Road, Town of Scriba, Oswego County, New York, United States",43.500667,-76.446758, Rikers Beach Rd,Scriba,22000
" Wilkinson Road, Hamilton (town), New York","Wilkinson Road, Town of Hamilton, Madison County, New York, United States",42.759106,-75.445285, Wilkinson Road,Hamilton (town),65000
" Caughdenoy Rd, Clay, New York","Caughdenoy Road, Youngs, Town of Clay, Onondaga County, New York, 13041, United States",43.206166,-76.166289, Caughdenoy Rd,Clay,55000
"9116 Frenchmans Ck Dr, Lysander, New York","9116, Frenchmans Creek Drive, Town of Lysander, Onondaga County, New York, 13135, United States",43.2081335,-76.2911151,9116 Frenchmans Ck Dr,Lysander,69900
"712 Main St, Fair Haven, New York","712, Main Street, Village of Fair Haven, Town of Sterling, Cayuga County, New York, 13156, United States",43.3165,-76.6913285,712 Main St,Fair Haven,24900
"26 South Meadow Dr, Cazenovia (village), New York","26, South Meadow Drive, Village of Cazenovia, Town of Cazenovia, Madison County, New York, 13035, United States",42.9185169,-75.8434849,26 South Meadow Dr,Cazenovia (village),64000
" Johnson Rd, Constantia, New York","Johnson Road, Nicholsville, Town of Constantia, Oswego County, New York, 13028, United States",43.258064,-75.95896, Johnson Rd,Constantia,150000
"157 Tubbs Rd, Mexico (town), New York","157, Tubbs Road, Village of Mexico, Town of Mexico, Albion, Oswego County, New York, 13114, United States",43.467249,-76.15665220454545,157 Tubbs Rd,Mexico (town),115000
" Sharp Rd, Granby, New York","Sharp Road, Town of Granby, Oswego County, New York, 13115, United States",43.271255,-76.443703, Sharp Rd,Granby,61000
"9005 Kennedy Ln, Sullivan, New York","9005, Kennedy Lane, Village of Canastota, Madison County, New York, 13032, United States",43.1578518,-75.8235523,9005 Kennedy Ln,Sullivan,42000
"1515 Honoco Rd, Ledyard, New York","1515, Honoco Road, Town of Ledyard, Cayuga County, New York, 13026, United States",42.694681,-76.6797358,1515 Honoco Rd,Ledyard,112800
"5085 Van Zandt Rd, Onondaga, New York","5085, Van Zandt Road, Howlett Hill, City of Syracuse, Marcellus, Onondaga County, New York, 13215, United States",43.0185833,-76.2875935,5085 Van Zandt Rd,Onondaga,8000
" Co Rt 26, West Monroe, New York","County Rt 37, Brewerton, Town of West Monroe, Oswego County, New York, 13029, United States",43.24846,-76.130188, Co Rt 26,West Monroe,65000
"169 N Herman Av, Auburn, New York","169, North Herman Avenue, City of Auburn, Aurelius, Cayuga County, New York, 13021, United States",42.9396071,-76.5455685,169 N Herman Av,Auburn,23400
"9088 Ashley Landing Dr, Clay, New York","9088, Ashley Landing Drive, Oak Orchard, Town of Clay, Onondaga County, New York, 13041, United States",43.2100765,-76.205041,9088 Ashley Landing Dr,Clay,85500
"100 Highridge Pl, Onondaga, New York","100, Highridge Place, City of Syracuse, Onondaga County, New York, 13215, United States",43.0272583,-76.2001663,100 Highridge Pl,Onondaga,315000
"656-60 Fellows Ave, Syracuse, New York","Fellows Avenue, University Neighborhood, Dewitt, Onondaga County, New York, 13210, United States",43.0327348,-76.1148275,656-60 Fellows Ave,Syracuse,35000
" Feather Dr, LaFayette, New York","Feather Drive, Town of LaFayette, Onondaga County, New York, 13084, United States",42.870889,-76.10946, Feather Dr,LaFayette,13000
"755 Kibby Rd, Lysander, New York","755, Kibby Road, Baird Corners, Town of Lysander, Onondaga County, New York, 13027, United States",43.2226077,-76.4495823,755 Kibby Rd,Lysander,382000
"14 Jay Ln, Phoenix, New York","14, Jay Lane, Village of Phoenix, Town of Schroeppel, Oswego County, New York, 13135, United States",43.2317665,-76.29000918888207,14 Jay Ln,Phoenix,275000
"225 Harriette Ave, Syracuse, New York","225, Harriette Avenue, Outer Comstock, City of Syracuse, Onondaga County, New York, 13210, United States",43.0233969,-76.1299004,225 Harriette Ave,Syracuse,151
" Obrien Rd, Van Buren, New York","Obrien Road, Town of Van Buren, Onondaga County, New York, 13027, United States",43.115781,-76.299307, Obrien Rd,Van Buren,10000
" West Lake Road, Fleming, New York","West Lake Road, Melrose Park, Town of Fleming, Aurelius, Cayuga County, New York, 13021, United States",42.898882,-76.548924, West Lake Road,Fleming,25000
"11576 Mc Neeley Rd, Victory, New York","11576, Mc Neeley Road, Town of Cato, Cayuga County, New York, 13033, United States",43.1764905,-76.655524,11576 Mc Neeley Rd,Victory,315000
"6817 Jamesville Grove Ln, LaFayette, New York","Jamesville Grove Lane, Town of LaFayette, Onondaga County, New York, 13078, United States",42.9668218,-76.0619527,6817 Jamesville Grove Ln,LaFayette,150000
"0 Lake Moraine Rd, Madison (town), New York","Lake Moraine Road, Madison Center, Village of Hamilton, Town of Madison, Madison County, New York, 13346, United States",42.860406,-75.520099,0 Lake Moraine Rd,Madison (town),40000
